task,code
DIAGNOSIS,NEURO
DIAGNOSIS,NEURO_SURGERY
DIAGNOSIS,OPHTHALMOLOGY
DIAGNOSIS,ONCOLOGY
DIAGNOSIS,RADIOLOGY
DIAGNOSIS,PATHOLOGY_REPORT_SURGICAL
DIAGNOSIS,PATHOLOGY_REPORT_BIOPSY
DIAGNOSIS,GENETICS
DIAGNOSIS,TUMOR_BOARD_NOTE
DIAGNOSIS,EMERGENCY_DEPARTMENT
DIAGNOSIS,ADMISSION_NOTE
DIAGNOSIS,DISCHARGE_SUMMARY
GENE,NEURO
GENE,ONCOLOGY
GENE,GENETICS
GENE,PATHOLOGY_REPORT_SURGICAL
GENE,PATHOLOGY_REPORT_BIOPSY
GENE,TUMOR_BOARD_NOTE
GENE,ADMISSION_NOTE
GENE,DISCHARGE_SUMMARY
SURGERY_LIST,NEURO_SURGERY
SURGERY_LIST,RADIOLOGY
SURGERY_LIST,TUMOR_BOARD_NOTE
SURGERY_LIST,DISCHARGE_SUMMARY
SURGERY_LIST,PATHOLOGY_REPORT_SURGICAL
DRUG,ONCOLOGY
DRUG,PHARMACY
DRUG,MEDICATION_ORDER
DRUG,MEDICATION_ADMIN
DRUG,CHEMOTHERAPY
DRUG,ADVERSE_EVENT
DRUG,CLINICAL_TRIAL
DRUG,TUMOR_BOARD_NOTE
DRUG,ADMISSION_NOTE
DRUG,DISCHARGE_SUMMARY
PROGRESSION,NEURO
PROGRESSION,ONCOLOGY
PROGRESSION,RADIOLOGY
PROGRESSION,OPHTHALMOLOGY
PROGRESSION,ENDOCRINOLOGY
PROGRESSION,TUMOR_BOARD_NOTE
PROGRESSION,EMERGENCY_DEPARTMENT
PROGRESSION,ADMISSION_NOTE
PROGRESSION,DISCHARGE_SUMMARY
